Legal status/main purpose;Dokument für Staatsangehörige des folgenden Landes: <CC>;Document issued to nationals of CC
Legal status/main purpose;Dokument für Staatenlose.;Document issued to stateless persons.
Legal status/main purpose;Reisedokument für Staatsangehörige des folgenden Landes: <CC>;Travel document issued to nationals of CC
Legal status/main purpose;Reisedokument für Personen die nicht die Staatsangehörigkeit des folgenden Landes: <CC> besitzen;Travel document issued to persons who are not nationals of CC
Legal status/main purpose;Reisedokument für Staatsangehörige mit diplomatischer Immunität des folgenden Landes: <CC> ;Travel document issued to nationals of CC with diplomatic immunity.
Legal status/main purpose;Reisedokument für Ausländer.;Travel document issued to non citizens.
Legal status/main purpose;Reisedokument für Ausländer die in folgendem Land wohnhaft sind: <CC> ;Travel document issued to non citizens resident in CC
Legal status/main purpose;Reisedokument für Drittstaatsangehörige.;Travel document issued to third country nationals.
Legal status/main purpose;Reisedokument für Ausländer oder Staatenlose.;Travel document issued to foreign nationals or stateless persons.
Legal status/main purpose;Dokument zum Nachweis der Identität für ansässige Ausländer.;Document establishing identity issued to resident foreign nationals.
Legal status/main purpose;Visum. Erlaubnis zur Einreise in das Hoheitsgebiet des folgenden Landes: <CC>;Visa. Authorisation to enter the territory of CC
Legal status/main purpose;Visum. Erlaubnis zur Einreise für eine befristete Dauer in das Hoheitsgebiet des folgenden Landes: <CC>;Visa. Authorisation to enter the territory of CC for a limited period.
Legal status/main purpose;Dokument für Personen mit Flüchtlingsstatus in folgendem Land: <CC>;Document issued to persons having refugee status in CC
Legal status/main purpose;Aufenthaltstitel für Bürger der Europäischen Union und Staatsangehörige Islands Liechtensteins Norwegens und der Schweiz mit Aufenthalt in folgendem Land: <CC>;Residence document issued to European Union citizens and to citizens of Iceland Liechtenstein Norway and Switzerland residing in CC
Legal status/main purpose;Aufenthaltstitel für Bürger der Europäischen Union mit Aufenthalt in folgendem Land: <CC>;Residence document issued to European Union citizens residing in CC
Legal status/main purpose;Visum. Erlaubnis zur Einreise in das Gebiet des Schengen Übereinkommens und zum Aufenthalt in diesem Gebiet.;Visa. Authorisation for entry to and stay in the Schengen Agreement area.
Legal status/main purpose;Dokument für Ausländer und Staatenlose mit Aufenthaltsrecht in folgendem Land: <CC>;Document issued to foreign nationals or stateless persons with the right to remain in CC
Legal status/main purpose;Reisedokument ausgestellt an Staatenlose gemäß Artikel 28 des Übereinkommens vom 28. September 1954 Ausstellungsland: <CC>;Travel document issued to stateless persons by CC pursuant to Article 28 of the Convention of 28 September 1954.
Legal status/main purpose;"Aufenthaltstitel für Familienangehörige eines Unionsbürgers; Nachweis über das Recht von Drittstaatsangehörigen die Familienangehörige eines Unionsbürgers oder eines Staatsangehörigen von Island Norwegen oder Liechtenstein sind sich im Hoheitsgebiet der Mitgliedstaaten frei zu bewegen und aufzuhalten. ";"Residence document for a family member of a European Union citizen; evidence for a third country national who is a family member of a citizen of the EU or of Iceland Norway or Liechtenstein of the right to move and reside freely within the territory of the member states."
Legal status/main purpose;Aufenthaltstitel für Drittstaatsangehörige der dazu ermächtigt sich in folgendem Land aufzuhalten: <CC> und sich innerhalb des Schengen Raums zu bewegen.;Residence permit granting authorization to third country nationals to reside in CC and to move within the Schengen Agreement Area.
Legal status/main purpose;DAUERAUFENTHALT EG: Langfristige Aufenthaltsberechtigung EG (Richtlinie 2003/109/EG des Rates). Aufenthaltstitel für Drittstaatsangehörige die über eine langfristige Aufenthaltsberechtigung in der EU verfügen ausgestellt von folgendem Land: <CC>;LONG TERM RESIDENT EC: Long term resident's EC residence permit (Council Directive 2003/109/EC). Residence permit for third country nationals with long term EU residence status issued by CC
Legal status/main purpose;Dokument für Personen die internationalen Schutz beantragt haben ausgestellt von folgendem Land: <CC>;Document for applicants for international protection issued by CC
Legal status/main purpose;Dokument für Personen die subsidiären Schutz genießen ausgestellt von folgendem Land: <CC>;Document for beneficiaries of subsidiary protection issued by CC
Legal status/main purpose;Dokument für Asylbewerber ausgestellt von folgendem Land: <CC>;Document for asylum seekers issued by CC
Legal status/main purpose;Dokument zur Bestätigung dass ein Erstantrag auf einen Aufenthaltstitel in folgendem Land gestellt worden ist: <CC>;Document confirming that an initial residence permit application has been submitted in CC
Legal status/main purpose;Dokument zur Bestätigung dass ein Antrag auf Verlängerung eines Aufenthaltstitels in folgendem Land gestellt worden ist: <CC>;Document confirming that an application for an extension of a residence permit has been submitted in CC
Legal status/main purpose;Dokument zum Nachweis der Identität für Diplomaten und Konsularbeamte und für Mitglieder von internationalen Organisationen die in folgendem Land akkreditiert sind: <CC>;Document establishing identity issued to diplomats and consular officials and to members of international organisations accredited in CC. 
Legal status/main purpose;Dokument zum Nachweis der Identität für Mitglieder des Verwaltungs und technischen Personals von ausländischen Vertretungen die in folgendem Land akkreditiert sind: <CC>;Document establishing identity issued to administrative and technical staff of foreign representations accredited in CC. 
Legal status/main purpose;Dokument zum Nachweis der Identität für Mitglieder des Dienst und Privatpersonals von ausländischen Vertretungen die in folgendem Land akkreditiert sind: <CC>;Document establishing identity issued to service and private staff of foreign representations accredited in CC. 
Legal status/main purpose;Aufenthaltstitel für Drittstaatsangehörige der dazu ermächtigt sich in folgendem Land aufzuhalten: <CC>;Residence permit granting authorisation to third country nationals to reside in CC
Legal status/main purpose;Personalausweis für Staatsangehörige des folgenden Landes: <CC>. In der Europäischen Union und den assoziierten Schengen Ländern gültiges Reisedokument.;Identity card issued to nationals of CC. Travel document in the European Union and Schengen associated countries.
Legal status/main purpose;Blaue Karte EU: Aufenthalts und Arbeitserlaubnis für das Gebiet des Schengen Übereinkommens für hochqualifizierte Drittstaatsangehörige (fußend auf der Richlinie 2009/50/EG des Rates).;EU Blue Card: Residence and work permit for the Schengen Agreement Area for high skilled third countries' citizens (based on Council Directive 2009/50/EC).
Legal status/main purpose;Reisedokument gemäß dem Abkommen vom 28. Juli 1951 ausgestellt an Personen mit Flüchtlingsstatus in: <CC>;Travel document pursuant to the Convention of 28 July 1951 issued to persons having refugee status in CC
